Sample,Wavelength,Absorption,ReducedScattering
raw_umber_1_4.17.25,662.0,0.0,0.3736920062487788
raw_umber_1_4.17.25,660.0,0.0,0.3749111819564933
raw_umber_1_4.17.25,658.0,0.0,0.3761380534655735
raw_umber_1_4.17.25,656.0,0.0,0.3773726929678759
raw_umber_1_4.17.25,654.0,0.0,0.3786151735553328
raw_umber_1_4.17.25,652.0,0.0,0.3798655692339701
raw_umber_1_4.17.25,650.0,0.0,0.3811239549381873
raw_umber_1_4.17.25,648.0,0.0,0.382390406545305
raw_umber_1_4.17.25,646.0,0.0,0.3836650008903862
raw_umber_1_4.17.25,644.0,0.0,0.3849478157813376
raw_umber_1_4.17.25,642.0,0.0,0.3862389300142966
raw_umber_1_4.17.25,640.0,0.0,0.3875384233893104
raw_umber_1_4.17.25,638.0,0.0,0.3888463767263143
raw_umber_1_4.17.25,636.0,0.0,0.3901628718814143
raw_umber_1_4.17.25,634.0,0.0,0.3914879917634833
raw_umber_1_4.17.25,632.0,0.0,0.3928218203510755
raw_umber_1_4.17.25,630.0,0.0,0.3941644427096668
raw_umber_1_4.17.25,628.0,0.0,0.3955159450092304
raw_umber_1_4.17.25,626.0,0.0,0.396876414542152
raw_umber_1_4.17.25,624.0,0.0,0.3982459397414945
raw_umber_1_4.17.25,622.0,0.0,0.3996246101996205
raw_umber_1_4.17.25,620.0,0.0,0.4010125166871784
raw_umber_1_4.17.25,618.0,0.0,0.4024097511724632
raw_umber_1_4.17.25,616.0,0.0,0.4038164068411581
raw_umber_1_4.17.25,614.0,0.0,0.4052325781164682
raw_umber_1_4.17.25,612.0,0.0,0.4066583606796528
raw_umber_1_4.17.25,610.0,0.0,0.408093851490968
raw_umber_1_4.17.25,608.0,0.0,0.4095391488110272
raw_umber_1_4.17.25,606.0,0.0,0.4109943522225898
raw_umber_1_4.17.25,604.0,0.0,0.4124595626527894
raw_umber_1_4.17.25,602.0,0.0,0.4139348823958096
raw_umber_1_4.17.25,600.0,0.0,0.4154204151360203
raw_umber_1_4.17.25,598.0,0.0,0.4169162659715832
raw_umber_1_4.17.25,596.0,0.0,0.4184225414385395
raw_umber_1_4.17.25,594.0,0.0,0.4199393495353899
raw_umber_1_4.17.25,592.0,0.0,0.4214667997481798
raw_umber_1_4.17.25,590.0,0.0,0.4230050030761008
raw_umber_1_4.17.25,588.0,0.0,0.4245540720576217
raw_umber_1_4.17.25,586.0,0.0,0.4261141207971614
raw_umber_1_4.17.25,584.0,0.0,0.4276852649923172
raw_umber_1_4.17.25,582.0,0.0,0.429267621961661
raw_umber_1_4.17.25,580.0,0.0,0.4308613106731186
raw_umber_1_4.17.25,578.0,0.0,0.4324664517729465
raw_umber_1_4.17.25,576.0,0.0,0.4340831676153182
raw_umber_1_4.17.25,574.0,0.0,0.4357115822925386
raw_umber_1_4.17.25,572.0,0.0,0.4373518216659001
raw_umber_1_4.17.25,570.0,0.0,0.4390040133971966
raw_umber_1_4.17.25,568.0,0.0,0.4406682869809116
raw_umber_1_4.17.25,566.0,0.0,0.4423447737770977
raw_umber_1_4.17.25,564.0,0.0,0.4440336070449649
raw_umber_1_4.17.25,562.0,0.0,0.4457349219771952
raw_umber_1_4.17.25,560.0,0.0002,0.4474488557350017
raw_umber_1_4.17.25,558.0,0.001,0.4491755474839519
raw_umber_1_4.17.25,556.0,0.0019,0.4509151384305737
raw_umber_1_4.17.25,554.0,0.0028,0.4526677718597646
raw_umber_1_4.17.25,552.0,0.0036,0.454433593173025
raw_umber_1_4.17.25,550.0,0.0043,0.4562127499275359
raw_umber_1_4.17.25,548.0,0.005,0.4580053918761036
raw_umber_1_4.17.25,546.0,0.0061,0.4598116710079936
raw_umber_1_4.17.25,544.0,0.0073,0.4616317415906772
raw_umber_1_4.17.25,542.0,0.0084,0.4634657602125138
raw_umber_1_4.17.25,540.0,0.0091,0.4653138858263935
raw_umber_1_4.17.25,538.0,0.0102,0.4671762797943676
raw_umber_1_4.17.25,536.0,0.0109,0.4690531059332882
raw_umber_1_4.17.25,534.0,0.0123,0.47094453056149
raw_umber_1_4.17.25,532.0,0.0131,0.4728507225465357
raw_umber_1_4.17.25,530.0,0.0144,0.4747718533540583
raw_umber_1_4.17.25,528.0,0.0152,0.4767080970977265
raw_umber_1_4.17.25,526.0,0.0163,0.4786596305903661
raw_umber_1_4.17.25,524.0,0.0175,0.4806266333962659
raw_umber_1_4.17.25,522.0,0.0189,0.4826092878847016
raw_umber_1_4.17.25,520.0,0.0197,0.4846077792847124
raw_umber_1_4.17.25,518.0,0.0206,0.4866222957411606
raw_umber_1_4.17.25,516.0,0.0217,0.4886530283721141
raw_umber_1_4.17.25,514.0,0.0226,0.4907001713275833
raw_umber_1_4.17.25,512.0,0.0235,0.4927639218496549
raw_umber_1_4.17.25,510.0,0.0249,0.4948444803340573
raw_umber_1_4.17.25,508.0,0.0262,0.4969420503931991
raw_umber_1_4.17.25,506.0,0.0274,0.4990568389207233
raw_umber_1_4.17.25,504.0,0.029,0.5011890561576161
raw_umber_1_4.17.25,502.0,0.0302,0.5033389157599184
raw_umber_1_4.17.25,500.0,0.0311,0.5055066348680827
raw_umber_1_4.17.25,498.0,0.0321,0.5076924341780216
raw_umber_1_4.17.25,496.0,0.0331,0.5098965380138997
raw_umber_1_4.17.25,494.0,0.0344,0.5121191744027144
raw_umber_1_4.17.25,492.0,0.0353,0.5143605751507209
raw_umber_1_4.17.25,490.0,0.0367,0.5166209759217513
raw_umber_1_4.17.25,488.0,0.038,0.5189006163174862
